,Name,Points,Assists,OffensiveRebounds,Position,Season
7214,Drew Gooden,0.23809523809523808,0.0,0.5,PF,2006.0
7215,Drew Gooden,0.23809523809523808,0.14285714285714285,0.75,PF,2007.0
7216,Drew Gooden,0.23809523809523808,0.0,0.5,PF,2008.0
7301,Dwight Howard,0.2857142857142857,0.0,0.75,PF,2005.0
7302,Dwight Howard,0.47619047619047616,0.14285714285714285,0.75,PF,2006.0
7723,Eddy Curry,0.38095238095238093,0.0,0.25,PF,2004.0
7783,Elden Campbell,0.3333333333333333,0.14285714285714285,0.25,PF,2001.0
7784,Elden Campbell,0.38095238095238093,0.14285714285714285,0.25,PF,2002.0
7877,Elton Brand,0.6666666666666666,0.14285714285714285,1.0,PF,2000.0
7878,Elton Brand,0.6190476190476191,0.2857142857142857,0.75,PF,2001.0
7879,Elton Brand,0.5714285714285714,0.2857142857142857,1.0,PF,2002.0
7880,Elton Brand,0.38095238095238093,0.14285714285714285,0.75,PF,2003.0
7881,Elton Brand,0.5238095238095238,0.2857142857142857,0.75,PF,2004.0
7882,Elton Brand,0.6666666666666666,0.2857142857142857,0.75,PF,2005.0
7883,Elton Brand,0.8571428571428571,0.2857142857142857,0.5,PF,2006.0
7884,Elton Brand,0.7142857142857143,0.2857142857142857,0.75,PF,2007.0
7887,Elton Brand,0.3333333333333333,0.14285714285714285,0.5,PF,2010.0
7888,Elton Brand,0.42857142857142855,0.14285714285714285,0.5,PF,2011.0
7924,Emeka Okafor,0.38095238095238093,0.0,0.75,PF,2005.0
8181,Ersan Ilyasova,0.2857142857142857,0.14285714285714285,0.25,PF,2013.0
8187,Ersan Ilyasova,0.38095238095238093,0.14285714285714285,0.25,PF,2017.0
9085,Gerald Wallace,0.42857142857142855,0.2857142857142857,0.0,PF,2008.0
9242,Gorgui Dieng,0.19047619047619047,0.14285714285714285,0.5,PF,2017.0
9430,Greg Monroe,0.47619047619047616,0.2857142857142857,0.75,PF,2014.0
9431,Greg Monroe,0.38095238095238093,0.14285714285714285,0.5,PF,2015.0
9575,Hakim Warrick,0.3333333333333333,0.0,0.25,PF,2007.0
